image_path,prompt
archive/Training/glioma_tumor/gg (399).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (135).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (544).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (123).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (333).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (15).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (137).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (211).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (234).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (679).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (326).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (743).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (377).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (533).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (353).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (747).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (572).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (738).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (439).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (607).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (222).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (149).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (141).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (406).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (310).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (455).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (20).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (128).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (84).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (695).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (534).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (563).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (491).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (396).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (702).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (263).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (790).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (456).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (367).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (545).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (12).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (178).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (411).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (300).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (488).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (219).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (803).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (628).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (817).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (793).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (632).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (664).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (758).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (761).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (157).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (296).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (814).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (676).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (466).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (731).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (176).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (473).jpg,MRI of brain with glioma tumor
archive/Training/meningioma_tumor/m3 (60).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (116).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(3).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(78).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (172).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (240).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (89).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (168).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (169).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (209).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (145).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (74).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (11).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (74).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(128).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (169).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (133).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (178).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(30).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (24).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (73).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(18).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (75).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (83).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (144).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (28).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (181).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (146).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (96).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(24).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (108).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (127).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (83).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (48).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (195).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(150).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (137).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (105).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (177).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(89).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (99).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (80).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (158).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (58).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (31).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (152).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (109).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (91).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (93).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (73).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (71).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(127).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(71).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (156).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (19).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(56).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (129).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (200).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (116).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (59).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (64).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (218).jpg,MRI of brain with meningioma tumor
archive/Training/no_tumor/image(138).jpg,MRI of brain with no tumor
archive/Training/no_tumor/6.jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(106).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(188).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(110).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (51).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(105).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(51).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(270).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(218).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(162).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(212).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (46).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(305).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(19).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(312).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(314).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(282).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(67).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(122).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(216).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(128).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(79).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(78).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (35).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(200).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(323).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(161).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(168).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(206).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(32).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (36).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (4).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (18).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(193).jpg,MRI of brain with no tumor
archive/Training/no_tumor/3.jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (28).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(183).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(294).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(88).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (5).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(295).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(288).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(301).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (7).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(85).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(4).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(45).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(172).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(147).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (57).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(113).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(126).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(61).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(204).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(258).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (40).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(265).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(233).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(44).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(299).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(269).jpg,MRI of brain with no tumor
archive/Training/pituitary_tumor/p (724).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (390).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (280).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (65).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (22).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (504).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (409).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (241).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (668).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (290).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (399).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (77).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (226).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (165).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (465).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (397).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (684).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (127).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (689).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (386).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (355).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (634).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (385).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (776).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (97).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (175).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (303).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (26).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (88).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (481).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (487).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (518).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (69).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (477).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (184).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (377).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (420).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (250).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (616).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (173).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (421).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (512).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (283).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (697).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (432).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (720).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (752).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (248).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (415).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (543).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (665).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (791).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (167).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (780).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (566).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (468).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (464).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (58).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (278).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (56).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (585).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (116).jpg,MRI of brain with pituitary tumor
